bin,rows,negatives,positives,fp,fn,fp_rate,fn_rate,f1,mean_score,pos_rate,fp_share
1,524,513,11,2.0000,2.0000,0.0039,0.1818,0.8182,0.0241,0.0210,0.2000
2,514,497,17,0.0000,3.0000,0.0000,0.1765,0.9032,0.0352,0.0331,0.0000
3-4,474,414,60,0.6667,10.6667,0.0016,0.1778,0.8970,0.1257,0.1266,0.0667
5-8,641,63,578,6.6667,18.0000,0.1058,0.0311,0.9785,0.8883,0.9017,0.6667
9-16,600,11,589,0.0000,2.0000,0.0000,0.0034,0.9983,0.9800,0.9817,0.0000
17+,247,2,245,0.6667,0.0000,0.3333,0.0000,0.9986,0.9934,0.9919,0.0667
